Tree ID,Longitude,Latitude,Common Name,Condition Class / Infestation Pattern,List of Trees on  residential property,BTM positive trees self reported  on residential property,Number of BTM positive Tree Species on property,Dbh 1. inches,Dbh 2,Dbh 3,Dbh 4,Dbh 5,Dbh 6,Number Observed BTM Nests,Distance to Water (feet),Entry Source,BTM (Y/N),Interest in Help,Tree Type (Ornamental | Fruiting / Flowering | Bush),Proposed Treatment Type (Insert/Injection; Manual Removal; Organic Spray),"Treatm.  Priority (1: High, 2: Med, 3: Low)"
130,-69.63344511,44.55127084,Crabapple ,Good ,,,1,10,...,...,...,...,...,75,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
101,-69.62973408,44.5495351,Crabapple ,Fair ,,,1,21,...,...,...,...,...,50,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
59,-69.6271305,44.55195911,Elm-American ,Good ,,,1,4,...,...,...,...,...,50,<25 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
105,-69.62936061,44.54957609,Elm-American ,Good ,,,1,42,...,...,...,...,...,50,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
353,-69.66230072,44.52873009,Oak-Northern Red ,Good ,,,1,24,...,...,...,...,...,50,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
388,-69.65900935,44.52789299,Cherry-Black ,Poor ,,,1,24,...,...,...,...,...,45,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
406,-69.66150693,44.52850077,Crabapple ,Good ,,,1,14,...,...,...,...,...,40,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
60,-69.62717064,44.5521075,Elm-American ,Good ,,,1,4,...,...,...,...,...,40,<25 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
197,-69.6301038,44.5681192,Pear-Callery ,Good ,,,1,8,4,4,...,...,...,40,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
63,-69.6270962,44.55225634,Serviceberry ,Good ,,,1,2,...,...,...,...,...,40,<25 ,Bartlett Invent Feb 2022,Y,,Bush,Manual Removal,1
407,-69.66154058,44.52850708,Crabapple ,Fair ,,,1,10,...,...,...,...,...,35,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
